startpoint,endpoint,type
_44335_,_44048_,c
_44285_,_44174_,b
_44285_,_43966_,c
_44285_,_44285_,c
_44285_,_44317_,b
_44221_,_44110_,b
_44221_,_43982_,c
_44221_,_44221_,c
_44253_,_43974_,c
_44253_,_44142_,b
_44253_,_44253_,c
_44268_,_44037_,c
_44268_,_44125_,b
_44268_,_44268_,c
_44268_,_44332_,b
_44300_,_44157_,b
_44300_,_44029_,c
_44300_,_44300_,c
_44329_,_44246_,b
_44329_,_44310_,b
_44329_,_44278_,b
_44329_,_44303_,b
_44329_,_44277_,b
_44329_,_44341_,b
_44329_,_44342_,b
_44329_,_44245_,b
_44329_,_44309_,b
_44329_,_44239_,b
_44329_,_44271_,b
_44329_,_44018_,c
_44246_,_44087_,b
_44246_,_44079_,c
_44330_,_44306_,b
_44330_,_44274_,b
_44330_,_44242_,b
_44330_,_44304_,b
_44330_,_44336_,b
_44330_,_44240_,b
_44330_,_44272_,b
_44330_,_44338_,b
_44330_,_44019_,c
_44306_,_44147_,b
_44306_,_44059_,c
_44274_,_44115_,b
_44274_,_44067_,c
_44305_,_44146_,b
_44305_,_44058_,c
_44307_,_44060_,c
_44307_,_44148_,b
_44297_,_44026_,c
_44297_,_44154_,c
_44297_,_44329_,c
_44242_,_44075_,c
_44314_,_44294_,b
_44314_,_44230_,b
_44314_,_44292_,b
_44314_,_44260_,b
_44314_,_44228_,b
_44314_,_44324_,b
_44314_,_44262_,b
_44314_,_44326_,b
_44314_,_44229_,b
_44314_,_44287_,b
_44314_,_44255_,b
_44314_,_44223_,b
_44314_,_44261_,b
_44314_,_44325_,b
_44314_,_44319_,b
_44314_,_44293_,b
_44314_,_43955_,c
_44294_,_44167_,c
_44294_,_43999_,c
_44304_,_44057_,c
_44304_,_44145_,b
_44240_,_44073_,c
_44240_,_44081_,c
_44272_,_44113_,b
_44272_,_44065_,c
_44272_,_44272_,c
_44248_,_44137_,b
_44248_,_43969_,c
_44248_,_44312_,b
_44280_,_44169_,b
_44280_,_43961_,c
_44280_,_44280_,c
_44230_,_44103_,b
_44230_,_44015_,c
_44230_,_44230_,c
_44338_,_44051_,c
_44216_,_43977_,c
_44216_,_44105_,b
_44216_,_44248_,c
_44216_,_44216_,c
_44333_,_44022_,c
_44310_,_44151_,b
_44310_,_44063_,c
_44278_,_44071_,c
_44278_,_44119_,b
_44283_,_44172_,b
_44283_,_43964_,c
_44283_,_44315_,c
_44292_,_43997_,c
_44292_,_44324_,c
