startpoint,endpoint,type
_114301_,_114699_,b
_114301_,_115149_,b
_114301_,_114824_,b
_114301_,_114461_,b
_114301_,_116924_,b
_114301_,_116516_,b
_114301_,_116760_,b
_114301_,_116841_,b
_114301_,_116759_,b
_114301_,_116923_,b
_114301_,_115716_,d
_114301_,_116515_,b
_114301_,_114313_,b
_114301_,_114460_,b
_114301_,_114312_,b
_114301_,_115757_,d
_114301_,_116394_,d
_114301_,_116883_,b
_114301_,_116559_,b
_114301_,_115431_,b
_114301_,_116558_,b
_114301_,_115430_,b
_114301_,_116636_,b
_114301_,_114983_,b
_114301_,_114502_,b
_114301_,_115554_,b
_114301_,_117006_,b
_114301_,_114862_,b
_114301_,_117005_,b
_114301_,_116840_,d
_114301_,_117088_,b
_114301_,_115147_,b
_114301_,_114459_,b
_114301_,_116758_,d
_114301_,_115429_,d
_114301_,_114861_,b
_114301_,_116922_,d
_114301_,_117004_,d
_114301_,_116882_,b
_114301_,_114860_,d
_114301_,_117407_,c
_114301_,_114301_,c
_116403_,_116403_,c
_115683_,_115683_,c
_116404_,_116404_,c
_116401_,_116401_,c
_116402_,_116402_,c
_115682_,_115682_,c
_116405_,_116405_,c
_115685_,_115685_,c
_115276_,_115276_,c
_115684_,_115684_,c
_115275_,_115275_,c
_115686_,_115686_,c
_115274_,_115274_,c
_116603_,_116603_,c
_115681_,_115681_,c
_116601_,_116601_,c
_116604_,_116604_,c
_116602_,_116602_,c
_115277_,_115277_,c
_115680_,_115680_,c
_115767_,_115767_,c
_115273_,_115273_,c
_115192_,_115192_,c
_115193_,_115193_,c
_115603_,_115603_,c
_115604_,_115604_,c
_116605_,_116605_,c
_115194_,_115194_,c
_115195_,_115195_,c
_115602_,_115602_,c
_117177_,_117177_,c
_115766_,_115766_,c
_117178_,_117178_,c
_115196_,_115196_,c
_115272_,_115272_,c
_117175_,_117175_,c
_116400_,_116400_,c
_117179_,_117179_,c
_117176_,_117176_,c
_116399_,_116399_,c
_115271_,_115271_,c
_115768_,_115768_,c
_115678_,_115678_,c
_116932_,_116932_,c
_115679_,_115679_,c
_116931_,_116931_,c
_116933_,_116933_,c
_115191_,_115191_,c
_116725_,_116725_,c
_116727_,_116727_,c
_114299_,_115641_,b
_114299_,_115644_,b
_114299_,_115642_,b
_114299_,_115643_,b
_114299_,_115645_,b
_114299_,_115639_,b
_114299_,_115640_,b
_114299_,_115637_,b
_114299_,_115638_,b
_114299_,_117136_,b
_114299_,_117137_,b
_114299_,_117138_,b
_114299_,_115636_,b
_114299_,_115635_,b
_114299_,_115398_,b
_114299_,_115399_,b
_114299_,_115400_,b
_114299_,_115634_,b
_114299_,_114660_,b
_114299_,_114657_,b
_114299_,_114658_,b
_114299_,_114659_,b
_114299_,_115186_,b
_114299_,_117049_,b
_114299_,_117048_,b
_114299_,_117169_,b
_114299_,_116323_,b
_114299_,_116322_,b
_114299_,_116678_,b
_114299_,_115106_,b
_114299_,_114900_,b
_114299_,_116677_,b
_114299_,_115105_,b
_114299_,_114427_,b
_114299_,_114426_,b
_114299_,_114501_,b
_114299_,_114656_,b
_114299_,_114425_,b
_114299_,_115633_,b
_114299_,_114352_,b
_114299_,_114424_,b
_114299_,_114351_,b
_114299_,_116676_,b
_114299_,_115104_,b
_114299_,_114458_,b
_114299_,_115103_,b
_114299_,_115307_,b
_114299_,_114655_,b
_114299_,_115632_,d
_114299_,_114423_,b
_114299_,_114350_,b
_114299_,_114422_,b
_114299_,_114349_,b
_114299_,_114457_,b
_114299_,_114456_,b
_114299_,_114654_,d
_114299_,_116757_,b
_114299_,_116839_,b
_114299_,_116756_,d
_114299_,_116838_,d
_114299_,_115144_,b
_114299_,_116920_,d
_114299_,_115143_,d
_114299_,_117405_,c
